CA,TRIGGERTIME,INCIDENTTYPE,NUMSHOTS,LATITUDE,LONGITUDE
7D,2017-03-20 21:49:54.140,Multiple Gunshots,6,38.837,-77.002
6D,2017-03-20 21:42:13.057,Single Gunshot,1,38.88,-76.927
5D,2017-03-20 21:35:28.470,Multiple Gunshots,3,38.915,-76.976
6D,2017-03-20 20:37:50.323,Multiple Gunshots,2,38.891,-76.94
7D,2017-03-20 19:21:46.507,Multiple Gunshots,5,38.845,-76.998
4D,2017-03-20 19:05:22.537,Single Gunshot,1,38.952,-77.027
5D,2017-03-20 10:33:40.493,Multiple Gunshots,7,38.905,-76.978
5D,2017-03-20 10:33:33.443,Multiple Gunshots,4,38.906,-76.977
7D,2017-03-20 02:42:56.287,Multiple Gunshots,2,38.845,-77.004
7D,2017-03-20 02:42:28.697,Multiple Gunshots,9,38.845,-77.005
7D,2017-03-20 00:40:19.947,Multiple Gunshots,8,38.842,-77.002
3D,2017-03-19 23:09:15.060,Single Gunshot,1,38.919,-77.017
5D,2017-03-19 23:09:15.060,Single Gunshot,1,38.919,-77.017
6D,2017-03-19 23:02:42.957,Single Gunshot,1,38.883,-76.939
7D,2017-03-19 21:28:42.973,Single Gunshot,1,38.843,-76.997
3D,2017-03-19 21:17:40.157,Multiple Gunshots,4,38.924,-77.022
7D,2017-03-19 20:49:04.090,Multiple Gunshots,4,38.831,-76.992
6D,2017-03-19 19:15:28.660,Gunshot/Firework,1,38.91,-76.938
7D,2017-03-19 02:52:03.157,Single Gunshot,1,38.84,-76.992
6D,2017-03-19 00:16:54.797,Multiple Gunshots,2,38.893,-76.919
6D,2017-03-18 23:14:14.733,Multiple Gunshots,3,38.901,-76.936
7D,2017-03-18 21:14:25.480,Multiple Gunshots,2,38.85,-76.969
7D,2017-03-18 20:40:20.993,Single Gunshot,1,38.847,-76.976
7D,2017-03-18 19:24:57.777,Multiple Gunshots,3,38.844,-76.972
7D,2017-03-18 05:56:32.660,Multiple Gunshots,11,38.859,-76.978
7D,2017-03-18 03:33:11.393,Multiple Gunshots,16,38.84,-76.994
5D,2017-03-18 03:16:28.867,Single Gunshot,1,38.903,-77.012
6D,2017-03-18 02:30:06.973,Multiple Gunshots,2,38.882,-76.927
6D,2017-03-18 02:29:54.850,Multiple Gunshots,2,38.882,-76.927
7D,2017-03-18 01:46:03.503,Multiple Gunshots,2,38.849,-76.971
7D,2017-03-18 01:25:59.687,Multiple Gunshots,5,38.828,-76.997
5D,2017-03-18 00:35:20.287,Multiple Gunshots,11,38.902,-76.975
7D,2017-03-18 00:31:35.303,Multiple Gunshots,3,38.817,-76.999
6D,2017-03-17 23:43:03.117,Multiple Gunshots,2,38.891,-76.941
7D,2017-03-17 23:00:01.787,Multiple Gunshots,3,38.858,-76.986
7D,2017-03-17 20:32:04.540,Single Gunshot,1,38.821,-76.998
7D,2017-03-17 20:28:02.393,Single Gunshot,1,38.821,-76.998
7D,2017-03-17 20:24:48.860,Gunshot/Firework,1,38.821,-76.998
7D,2017-03-17 19:18:41.777,Single Gunshot,1,38.855,-76.978
3D,2017-03-17 12:03:52.853,Multiple Gunshots,7,38.929,-77.026
5D,2017-03-17 07:09:49.103,Single Gunshot,1,38.9,-76.984
7D,2017-03-17 04:20:20.700,Gunshot/Firework,1,38.845,-76.981
6D,2017-03-17 02:28:39.727,Multiple Gunshots,5,38.911,-76.939
6D,2017-03-17 00:35:21.777,Multiple Gunshots,3,38.884,-76.929
7D,2017-03-16 23:24:33.367,Single Gunshot,1,38.864,-76.979
6D,2017-03-16 22:22:20.480,Multiple Gunshots,3,38.866,-76.97
6D,2017-03-16 18:31:03.657,Multiple Gunshots,2,38.89,-76.94
6D,2017-03-16 18:12:09.917,Multiple Gunshots,15,38.886,-76.95
6D,2017-03-16 18:11:31.463,Multiple Gunshots,5,38.886,-76.951
6D,2017-03-16 17:20:22.237,Multiple Gunshots,9,38.881,-76.932
5D,2017-03-16 11:47:33.747,Gunshot/Firework,1,38.898,-76.976
7D,2017-03-16 10:26:18.023,Multiple Gunshots,8,38.859,-76.995
6D,2017-03-16 03:47:26.417,Single Gunshot,1,38.886,-76.96
6D,2017-03-16 01:11:04.857,Multiple Gunshots,8,38.889,-76.959
5D,2017-03-16 01:09:19.243,Multiple Gunshots,2,38.924,-77.002
6D,2017-03-16 00:46:12.383,Single Gunshot,1,38.911,-76.939
6D,2017-03-16 00:45:15.607,Single Gunshot,1,38.911,-76.939
6D,2017-03-15 23:40:05.717,Multiple Gunshots,7,38.884,-76.936
5D,2017-03-15 22:54:37.147,Multiple Gunshots,6,38.936,-76.967
5D,2017-03-15 22:44:55.620,Multiple Gunshots,2,38.919,-76.98
7D,2017-03-15 21:50:10.570,Multiple Gunshots,5,38.832,-77.005
7D,2017-03-15 21:50:01.337,Multiple Gunshots,3,38.831,-77.006
7D,2017-03-15 20:46:45.317,Single Gunshot,1,38.837,-77.003
7D,2017-03-15 20:08:03.430,Single Gunshot,1,38.84,-76.987
6D,2017-03-15 10:11:32.420,Multiple Gunshots,3,38.893,-76.925
6D,2017-03-15 10:11:27.057,Multiple Gunshots,9,38.893,-76.925
7D,2017-03-15 00:15:51.203,Multiple Gunshots,14,38.841,-76.99
7D,2017-03-15 00:15:22.130,Single Gunshot,1,38.843,-76.99
5D,2017-03-14 23:31:12.733,Multiple Gunshots,9,38.937,-76.968
7D,2017-03-14 12:48:26.730,Multiple Gunshots,2,38.847,-76.999
7D,2017-03-14 12:48:14.200,Multiple Gunshots,5,38.847,-76.999
4D,2017-03-14 00:31:09.413,Multiple Gunshots,6,38.926,-77.034
3D,2017-03-14 00:31:08.950,Multiple Gunshots,7,38.926,-77.034
4D,2017-03-13 23:16:38.487,Multiple Gunshots,2,38.951,-77.015
6D,2017-03-13 20:36:08.620,Gunshot/Firework,1,38.907,-76.917
7D,2017-03-13 18:49:03.950,Single Gunshot,1,38.859,-76.99
5D,2017-03-13 16:52:19.763,Gunshot/Firework,1,38.897,-76.97
3D,2017-03-13 16:31:33.847,Single Gunshot,1,38.911,-77.018
6D,2017-03-13 01:50:06.453,Multiple Gunshots,3,38.894,-76.919
4D,2017-03-13 00:38:15.877,Multiple Gunshots,6,38.939,-77.03
7D,2017-03-12 23:59:03.523,Multiple Gunshots,2,38.851,-76.98
7D,2017-03-12 23:33:14.033,Multiple Gunshots,2,38.831,-76.992
7D,2017-03-12 22:53:02.413,Single Gunshot,1,38.847,-76.975
7D,2017-03-12 18:37:03.373,Single Gunshot,1,38.829,-76.999
7D,2017-03-12 14:20:08.770,Multiple Gunshots,3,38.853,-76.979
7D,2017-03-12 03:49:11.427,Multiple Gunshots,4,38.824,-77.007
7D,2017-03-12 03:09:09.500,Single Gunshot,1,38.834,-76.983
7D,2017-03-11 21:39:54.023,Single Gunshot,1,38.828,-76.993
6D,2017-03-11 20:09:27.680,Multiple Gunshots,6,38.904,-76.924
7D,2017-03-11 01:41:59.323,Multiple Gunshots,5,38.832,-77.005
7D,2017-03-11 00:37:38.840,Multiple Gunshots,4,38.821,-77.009
7D,2017-03-11 00:35:15.697,Multiple Gunshots,8,38.831,-76.993
7D,2017-03-11 00:33:55.377,Single Gunshot,1,38.831,-76.993
4D,2017-03-11 00:12:00.677,Multiple Gunshots,3,38.941,-77.022
7D,2017-03-10 22:45:41.977,Gunshot/Firework,2,38.869,-76.98
7D,2017-03-10 22:45:30.747,Single Gunshot,1,38.869,-76.98
7D,2017-03-10 17:48:38.557,Single Gunshot,1,38.851,-76.972
6D,2017-03-10 16:43:50.687,Multiple Gunshots,2,38.907,-76.931
7D,2017-03-10 13:13:22.670,Gunshot/Firework,1,38.863,-76.981
6D,2017-03-10 10:25:52.127,Multiple Gunshots,4,38.896,-76.927
6D,2017-03-10 05:10:51.917,Single Gunshot,1,38.888,-76.951
7D,2017-03-10 03:14:55.020,Multiple Gunshots,9,38.859,-76.97
5D,2017-03-10 02:12:24.217,Single Gunshot,1,38.91,-77
6D,2017-03-10 00:46:16.630,Multiple Gunshots,3,38.884,-76.903
3D,2017-03-09 23:04:44.220,Single Gunshot,1,38.916,-77.028
6D,2017-03-09 22:52:11.387,Multiple Gunshots,8,38.911,-76.93
6D,2017-03-09 19:12:55.123,Multiple Gunshots,4,38.87,-76.944
1D,2017-03-09 11:54:29.193,Multiple Gunshots,23,38.874,-77.012
7D,2017-03-09 09:07:59.720,Multiple Gunshots,8,38.838,-76.996
6D,2017-03-09 02:44:51.737,Multiple Gunshots,7,38.876,-76.931
7D,2017-03-09 02:32:38.377,Multiple Gunshots,9,38.822,-76.994
4D,2017-03-08 23:09:16.107,Gunshot/Firework,1,38.942,-77.029
7D,2017-03-08 14:47:32.397,Multiple Gunshots,13,38.827,-77.003
7D,2017-03-08 14:47:29.800,Multiple Gunshots,11,38.825,-77.007
6D,2017-03-08 02:58:02.287,Multiple Gunshots,10,38.875,-76.939
7D,2017-03-08 01:09:14.147,Single Gunshot,1,38.845,-76.978
5D,2017-03-07 22:11:47.913,Multiple Gunshots,10,38.894,-76.978
6D,2017-03-07 20:59:49.630,Multiple Gunshots,2,38.88,-76.927
4D,2017-03-07 20:45:09.253,Gunshot/Firework,1,38.942,-77.029
6D,2017-03-07 20:23:14.483,Multiple Gunshots,4,38.88,-76.962
6D,2017-03-07 19:51:01.570,Single Gunshot,1,38.88,-76.931
7D,2017-03-07 19:43:23.783,Single Gunshot,1,38.857,-76.987
7D,2017-03-07 16:01:35.253,Gunshot/Firework,1,38.846,-76.982
7D,2017-03-07 15:04:17.840,Multiple Gunshots,2,38.853,-76.981
7D,2017-03-07 10:48:54.820,Single Gunshot,1,38.838,-76.992
7D,2017-03-07 09:44:04.983,Multiple Gunshots,4,38.853,-76.96
7D,2017-03-07 02:03:03.660,Multiple Gunshots,13,38.87,-76.978
7D,2017-03-07 01:52:49.583,Single Gunshot,1,38.851,-76.963
7D,2017-03-06 23:03:10.657,Multiple Gunshots,13,38.83,-77.002
5D,2017-03-06 21:03:58.710,Multiple Gunshots,4,38.904,-77.007
4D,2017-03-06 21:03:50.777,Multiple Gunshots,13,38.948,-77.026
3D,2017-03-06 21:03:49.217,Multiple Gunshots,10,38.907,-77.013
5D,2017-03-06 21:03:44.117,Multiple Gunshots,16,38.907,-77.01
3D,2017-03-06 21:03:37.787,Multiple Gunshots,11,38.905,-77.01
5D,2017-03-06 21:03:37.030,Multiple Gunshots,11,38.905,-77.01
6D,2017-03-06 20:54:54.507,Single Gunshot,1,38.891,-76.94
7D,2017-03-06 20:16:49.800,Multiple Gunshots,7,38.858,-76.996
6D,2017-03-06 19:46:00.050,Multiple Gunshots,4,38.881,-76.935
5D,2017-03-06 15:02:06.517,Multiple Gunshots,10,38.924,-76.964
7D,2017-03-06 04:52:39.797,Single Gunshot,1,38.847,-76.954
6D,2017-03-06 02:59:08.913,Multiple Gunshots,9,38.899,-76.944
7D,2017-03-06 02:55:41.227,Multiple Gunshots,3,38.843,-77.002
