N_Name,P_BUS,PP_BUS,GEOID
Columbia Heights Mt. Pleasant Park View,0.205659,20.6,11001002702
Deanwood Burrville Lincoln Heights,0.206242,20.6,11001007806
Congress Heights Bellevue Washington Highlands,0.209751,21.0,11001009803
Capitol View Marshall Heights Benning Heights,0.210112,21.0,11001009904
Capitol View Marshall Heights Benning Heights,0.210455,21.0,11001007707
Historic Anacostia,0.212355,21.2,11001007504
Cathedral Heights McLean Gardens Glover Park,0.216467,21.6,11001000701
Cathedral Heights McLean Gardens Glover Park,0.216853,21.7,11001000702
Capitol View Marshall Heights Benning Heights,0.218009,21.8,11001009906
Congress Heights Bellevue Washington Highlands,0.218522,21.9,11001009804
Congress Heights Bellevue Washington Highlands,0.218589,21.9,11001009801
Brightwood Park Crestwood Petworth,0.221011,22.1,11001002002
Edgewood Bloomingdale Truxton Circle Eckington,0.22263,22.3,11001009203
Howard University Le Droit Park Cardozo/Shaw,0.223373,22.3,11001003400
Columbia Heights Mt. Pleasant Park View,0.224641,22.5,11001003000
Fairfax Village Hillcrest Summit Park,0.22507,22.5,11001007604
Howard University Le Droit Park Cardozo/Shaw,0.228571,22.9,11001004300
Ivy City Arboretum Trinidad Carver Langston,0.230769,23.1,11001008803
Columbia Heights Mt. Pleasant Park View,0.236883,23.7,11001003500
River Terrace Benning Greenway Fort Dupont,0.246646,24.7,11001009604
Deanwood Burrville Lincoln Heights,0.247517,24.8,11001007809
Columbia Heights Mt. Pleasant Park View,0.253193,25.3,11001003700
Columbia Heights Mt. Pleasant Park View,0.25382,25.4,11001003100
Brightwood Park Crestwood Petworth,0.254417,25.4,11001002600
Congress Heights Bellevue Washington Highlands,0.255461,25.5,11001009807
Columbia Heights Mt. Pleasant Park View,0.25867,25.9,11001002900
Brightwood Park Crestwood Petworth,0.261455,26.1,11001002502
Fairfax Village Hillcrest Summit Park,0.262117,26.2,11001007603
Takoma Brightwood Manor Park,0.264543,26.5,11001010300
Woodland/Fort Stanton Garfield Heights Knox Hill,0.265306,26.5,11001007408
Takoma Brightwood Manor Park,0.267562,26.8,11001001901
Columbia Heights Mt. Pleasant Park View,0.26951,27.0,11001002701
Kalorama Heights Adams Morgan Lanier Heights,0.270025,27.0,11001003900
Georgetown Burleith/Hillandale,0.2735,27.4,11001000202
Congress Heights Bellevue Washington Highlands,0.276231,27.6,11001009802
Columbia Heights Mt. Pleasant Park View,0.276453,27.6,11001003200
Brightwood Park Crestwood Petworth,0.277995,27.8,11001002501
Twining Fairlawn Fort Davis Park Dupont Park,0.293417,29.3,11001007605
